Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-08-30 18:31:02,2019-08-30 18:31:09,7.186s,INCOMPLETE
,,,,,,,
Test Cases/aValidateMobileNumberTest,,,,2019-08-30 18:31:02,2019-08-30 18:31:05,3.055s,PASSED
"response = sendRequestAndVerify(findTestObject(""validate_mobile_number""))",,,,2019-08-30 18:31:03,2019-08-30 18:31:05,2.506s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-08-30 18:31:05,2019-08-30 18:31:05,0.011s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-08-30 18:31:05,2019-08-30 18:31:05,0.023s,PASSED
"println(""***************************************"")",,,,2019-08-30 18:31:05,2019-08-30 18:31:05,0.005s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-08-30 18:31:05,2019-08-30 18:31:05,0.003s,PASSED
"println(""***************************************"")",,,,2019-08-30 18:31:05,2019-08-30 18:31:05,0.002s,PASSED
value = uniqueTokenCode,,,,2019-08-30 18:31:05,2019-08-30 18:31:05,0.012s,PASSED
println(value),,,,2019-08-30 18:31:05,2019-08-30 18:31:05,0.001s,PASSED
uniquetoken = value,,,,2019-08-30 18:31:05,2019-08-30 18:31:05,0.001s,PASSED
"println(""***************************************"")",,,,2019-08-30 18:31:05,2019-08-30 18:31:05,0.001s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-08-30 18:31:05,2019-08-30 18:31:05,0.002s,PASSED
"println(""***************************************"")",,,,2019-08-30 18:31:05,2019-08-30 18:31:05,0.001s,PASSED
,,,,,,,
Test Cases/bValidate_OTPTest,,,,2019-08-30 18:31:05,2019-08-30 18:31:07,1.623s,PASSED
"sendRequest(findTestObject(""validate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-08-30 18:31:06,2019-08-30 18:31:06,0.290s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""validate_mobile_number""))",,,,2019-08-30 18:31:06,2019-08-30 18:31:07,0.866s,PASSED
slurper1 = new groovy.json.JsonSlurper(),,,,2019-08-30 18:31:07,2019-08-30 18:31:07,0.001s,PASSED
result1 = slurper1.parseText(response1.getResponseText()),,,,2019-08-30 18:31:07,2019-08-30 18:31:07,0.001s,PASSED
"println(""***************************************"")",,,,2019-08-30 18:31:07,2019-08-30 18:31:07,0.001s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEOTP TEST CASE = "" + result1)",,,,2019-08-30 18:31:07,2019-08-30 18:31:07,0.001s,PASSED
"println(""***************************************"")",,,,2019-08-30 18:31:07,2019-08-30 18:31:07,0.001s,PASSED
value1 = userId,,,,2019-08-30 18:31:07,2019-08-30 18:31:07,0.001s,PASSED
userid = value1,,,,2019-08-30 18:31:07,2019-08-30 18:31:07,0.001s,PASSED
"println(""***************************************"")",,,,2019-08-30 18:31:07,2019-08-30 18:31:07,0.002s,PASSED
"println(""THE USER ID IS GENARATED  = "" + userid)",,,,2019-08-30 18:31:07,2019-08-30 18:31:07,0.001s,PASSED
"println(""***************************************"")",,,,2019-08-30 18:31:07,2019-08-30 18:31:07,0.001s,PASSED
,,,,,,,
Test Cases/cInsertTripDetailsTest (MI),,,,2019-08-30 18:31:07,2019-08-30 18:31:08,1.211s,PASSED
"sendRequest(findTestObject(""validate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-08-30 18:31:07,2019-08-30 18:31:07,0.243s,PASSED
triPID = toString().toUpperCase(),,,,2019-08-30 18:31:07,2019-08-30 18:31:07,0.009s,PASSED
println(triPID),,,,2019-08-30 18:31:07,2019-08-30 18:31:07,0.001s,PASSED
now = new java.util.Date(),,,,2019-08-30 18:31:07,2019-08-30 18:31:07,0.008s,PASSED
"tiMe = now.format(""dd:MM:YYYY-HH:mm:ss +5:30"")",,,,2019-08-30 18:31:07,2019-08-30 18:31:07,0.004s,PASSED
println(tiMe),,,,2019-08-30 18:31:07,2019-08-30 18:31:07,0.001s,PASSED
"resp2 = sendRequest(findTestObject(""insert_trip_detail"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""tripid"":triPID, ""startriptime"":tiMe, ""startripLocality"":startripLocality]))",,,,2019-08-30 18:31:08,2019-08-30 18:31:08,0.350s,PASSED
slurper2 = new groovy.json.JsonSlurper(),,,,2019-08-30 18:31:08,2019-08-30 18:31:08,0.002s,PASSED
result2 = slurper2.parseText(resp2.getResponseText()),,,,2019-08-30 18:31:08,2019-08-30 18:31:08,0.001s,PASSED
"println(""***************************************
"")",,,,2019-08-30 18:31:08,2019-08-30 18:31:08,0.003s,PASSED
"println(""THIS IS THE RESPONSE FROM INSERT TRIP DETAILS  TEST CASE = "" + result2)",,,,2019-08-30 18:31:08,2019-08-30 18:31:08,0.001s,PASSED
"println(""***************************************
"")",,,,2019-08-30 18:31:08,2019-08-30 18:31:08,0.001s,PASSED
value2 = userId,,,,2019-08-30 18:31:08,2019-08-30 18:31:08,0.000s,PASSED
println(value2),,,,2019-08-30 18:31:08,2019-08-30 18:31:08,0.007s,PASSED
userid = value2,,,,2019-08-30 18:31:08,2019-08-30 18:31:08,0.001s,PASSED
,,,,,,,
Test Cases/dUpdateTripDetails,,,,2019-08-30 18:31:08,2019-08-30 18:31:09,0.816s,ERROR
"sendRequest(findTestObject(""validate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-08-30 18:31:08,2019-08-30 18:31:09,0.223s,PASSED
"resp3 = sendRequest(findTestObject(""insert_trip_detail""))",,,,2019-08-30 18:31:09,2019-08-30 18:31:09,0.241s,PASSED
slurper3 = new groovy.json.JsonSlurper(),,,,2019-08-30 18:31:09,2019-08-30 18:31:09,0.001s,PASSED
result3 = slurper3.parseText(resp3.getResponseText()),,,,2019-08-30 18:31:09,2019-08-30 18:31:09,0.001s,PASSED
