Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-09-04 23:52:04,2019-09-04 23:52:13,8.493s,INCOMPLETE
,,,,,,,
Test Cases/aValidateMobileNumberTest,,,,2019-09-04 23:52:05,2019-09-04 23:52:08,3.971s,PASSED
"response = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-04 23:52:05,2019-09-04 23:52:08,3.432s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-04 23:52:08,2019-09-04 23:52:08,0.006s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-09-04 23:52:08,2019-09-04 23:52:08,0.018s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:52:08,2019-09-04 23:52:08,0.005s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-09-04 23:52:08,2019-09-04 23:52:08,0.003s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:52:08,2019-09-04 23:52:08,0.001s,PASSED
value = uniqueTokenCode,,,,2019-09-04 23:52:08,2019-09-04 23:52:08,0.006s,PASSED
println(value),,,,2019-09-04 23:52:08,2019-09-04 23:52:08,0.001s,PASSED
uniquetoken = value,,,,2019-09-04 23:52:08,2019-09-04 23:52:08,0.004s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:52:08,2019-09-04 23:52:08,0.001s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-09-04 23:52:08,2019-09-04 23:52:08,0.002s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:52:08,2019-09-04 23:52:08,0.001s,PASSED
,,,,,,,
Test Cases/bValidate_OTPTest,,,,2019-09-04 23:52:09,2019-09-04 23:52:11,2.351s,PASSED
"sendRequest(findTestObject(""bvalidate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-04 23:52:09,2019-09-04 23:52:10,0.807s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-04 23:52:10,2019-09-04 23:52:11,1.289s,PASSED
slurper1 = new groovy.json.JsonSlurper(),,,,2019-09-04 23:52:11,2019-09-04 23:52:11,0.000s,PASSED
result1 = slurper1.parseText(response1.getResponseText()),,,,2019-09-04 23:52:11,2019-09-04 23:52:11,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:52:11,2019-09-04 23:52:11,0.010s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEOTP TEST CASE = "" + result1)",,,,2019-09-04 23:52:11,2019-09-04 23:52:11,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:52:11,2019-09-04 23:52:11,0.000s,PASSED
value1 = userId,,,,2019-09-04 23:52:11,2019-09-04 23:52:11,0.000s,PASSED
userid = value1,,,,2019-09-04 23:52:11,2019-09-04 23:52:11,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:52:11,2019-09-04 23:52:11,0.000s,PASSED
"println(""THE USER ID IS GENARATED  = "" + userid)",,,,2019-09-04 23:52:11,2019-09-04 23:52:11,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:52:11,2019-09-04 23:52:11,0.000s,PASSED
,,,,,,,
Test Cases/cInsertTripDetailsTest (MI),,,,2019-09-04 23:52:11,2019-09-04 23:52:13,1.829s,PASSED
"sendRequest(findTestObject(""bvalidate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-04 23:52:11,2019-09-04 23:52:12,0.744s,PASSED
triPID = toString().toUpperCase(),,,,2019-09-04 23:52:12,2019-09-04 23:52:12,0.020s,PASSED
println(triPID),,,,2019-09-04 23:52:12,2019-09-04 23:52:12,0.001s,PASSED
now = new java.util.Date(),,,,2019-09-04 23:52:12,2019-09-04 23:52:12,0.022s,PASSED
"tiMe = now.format(""dd:MM:YYYY-HH:mm:ss +5:30"")",,,,2019-09-04 23:52:12,2019-09-04 23:52:12,0.010s,PASSED
println(tiMe),,,,2019-09-04 23:52:12,2019-09-04 23:52:12,0.000s,PASSED
"resp2 = sendRequest(findTestObject(""insert_trip_detail"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""tripid"":triPID, ""startriptime"":tiMe, ""startripLocality"":startripLocality]))",,,,2019-09-04 23:52:12,2019-09-04 23:52:13,0.730s,PASSED
slurper2 = new groovy.json.JsonSlurper(),,,,2019-09-04 23:52:13,2019-09-04 23:52:13,0.000s,PASSED
result2 = slurper2.parseText(resp2.getResponseText()),,,,2019-09-04 23:52:13,2019-09-04 23:52:13,0.000s,PASSED
"println(""***************************************
"")",,,,2019-09-04 23:52:13,2019-09-04 23:52:13,0.000s,PASSED
"println(""THIS IS THE RESPONSE FROM INSERT TRIP DETAILS  TEST CASE = "" + result2)",,,,2019-09-04 23:52:13,2019-09-04 23:52:13,0.010s,PASSED
"println(""***************************************
"")",,,,2019-09-04 23:52:13,2019-09-04 23:52:13,0.000s,PASSED
"toString().split(triPID, 0)",,,,2019-09-04 23:52:13,2019-09-04 23:52:13,0.000s,PASSED
"value2 = toString().substring(25, 61)",,,,2019-09-04 23:52:13,2019-09-04 23:52:13,0.000s,PASSED
println(value2),,,,2019-09-04 23:52:13,2019-09-04 23:52:13,0.000s,PASSED
"println(""THE TRIP iD IS   = "" + value2)",,,,2019-09-04 23:52:13,2019-09-04 23:52:13,0.000s,PASSED
